TT,code
đi ngoài phân bình thường,P-01
phân lỏng,P-02
tiêu chảy liên tục,P-02
phân cứng,P-03
đại tiện ít,P-03
phân dính máu,P-04
phân có lẫn nhày ,P-05
bình thường không đau nhói,D-01
đau tức ngực,D-02
đau quặn bụng,D-03
ngón tay khoèo,D-04
đau khớp,D-04
đau bên trái bụng dưới,D-05
đau khi đi đại tiện,D-06
đau vùng thượng vị,D-07
đau quanh rốn,D-08
đau nhói xương sườn,D-09
đau vùng hậu môn,D-10
tinh thần cảm xúc bình thường,T-01
chóng no,T-02
ăn không ngon,T-02
ăn kém,T-02
cơ thể mệt mỏi,T-03
tinh thần suy nhược,T-03
mất ngủ,T-04
ngủ không ngon giấc,T-04
thường xuyên cáu gắt,T-05
chóng mặt,T-06
đau đầu,T-06
căng thẳng khi đi đại tiện,T-07
biểu hiện ngoài bình thường,N-01
chân tay lạnh,N-02
da khô nhăn nheo,N-03
mắt trũng,N-04
da sần sùi thô ráp,N-05
cơ thể bình thường,C-01
sốt,C-02
khàn giọng,C-03
đau họng,C-03
viêm họng,C-03
buồn nôn,C-04
nôn,C-04
rối loạn tiêu hóa,C-05
nôn ra máu,C-06
tiểu tiện ít hoặc vô niệu,C-07
ợ chua,C-08
ợ hơi,C-08
mót rặn,C-09
dạ dày bình thường,DD-01
xuất huyết dạ dày,DD-02
nóng rát dạ dày,DD-03
hậu môn bình thường,H-01
sa bũi trĩ,H-02
xung quanh kẽ hậu môn có các vết loét,H-03
xung quanh kẽ hậu môn dày lên và cứng,H-03
hậu môn ngứa rát ẩm ướt,H-04
